epoch,train_loss,eval_loss,eval_eer,eval_threshold,is_best,best_eer_so_far
0,0.044797,0.077151,0.020776,0.223504,1,0.020776
1,0.032496,0.071295,0.017313,0.193956,1,0.017313
2,0.023914,0.153374,0.033241,0.043147,0,0.017313
3,0.015030,0.114846,0.024931,0.038877,0,0.017313
4,0.010445,0.133407,0.019391,0.025934,0,0.017313
5,0.009830,0.098095,0.022161,0.084280,0,0.017313
6,0.008810,0.074306,0.015928,0.064030,1,0.015928
7,0.005551,0.066913,0.019391,0.127010,0,0.015928
8,0.007427,0.066706,0.022853,0.230456,0,0.015928
9,0.011679,0.451835,0.027008,0.003270,0,0.015928
